rank_saa,playerID,name,career_PA,qualifying_seasons,SAA_final,SAA_total,SAA_peak,SAA_rate,z_AVG_career,z_ISO_career,z_BB_career,z_SB_career,z_DEF_career,real_WAR,is_negro_leaguer,season_equivalents
1,ruthba01,Babe Ruth,10616.0,17.0,25.61607011940994,31.575501020171853,19.65663921864803,1.8722502828444623,1.4166306278891116,4.198586926935709,3.6613976927999836,-0.4283071785668244,-0.6781201751314981,182.62,False,20.654861896518334
2,cobbty01,Ty Cobb,13071.0,23.0,24.700256306012086,32.487465938798806,16.913046673225367,1.5103424425290006,2.5463157785426644,1.354299437087665,0.49671355811672807,2.058278894352915,0.42329316296468716,149.84,False,26.92938530662103
3,mayswi01,Willie Mays,12541.0,21.0,23.543378173114704,31.071726276689134,16.01503006954027,1.5096797931827257,1.2323384120640375,1.9563380892393678,0.7617611615003717,1.4836679264194648,1.6426696699986023,156.18,True,25.96321689676774
4,bondsba01,Barry Bonds,12606.0,21.0,22.247200736313985,28.6312976033602,15.863103869267768,1.3683908365474045,1.0211070586279205,2.600269100947076,3.1756960669499614,0.9760810493187024,-0.6659986147598042,162.78,False,27.146362206448124
5,speaktr01,Tris Speaker,11988.0,20.0,20.89206787849274,27.49456131671914,14.289574440266339,1.392952528078315,1.822713512785968,1.319599720474514,1.1080711865011934,0.35744169912130336,1.5185363476896032,136.07,False,24.733970471149345
6,willite01,Ted Williams,9791.0,17.0,20.081306964355115,25.16744023195295,14.995173696757284,1.5617400081882067,2.208376055771398,2.684799605391826,3.005906012378197,-0.7321534985476027,-0.6679397077190995,121.73,False,20.30510151685027
7,wagneho01,Honus Wagner,11748.0,21.0,19.70400599009233,24.459446064099044,14.948565916085617,1.2492056212512277,1.602904579296824,1.5908571213634548,0.2005151093273023,1.276253116717485,0.7170014422433282,132.75,False,24.358667533613918
8,mantlmi01,Mickey Mantle,9909.0,18.0,17.11823908305707,21.072578966585056,13.163899199529084,1.2759660288577084,1.0587471371579682,1.9681797676585613,2.4813546743589083,0.5250284057471459,0.3362482470107206,110.25999999999999,False,21.146148444976422
9,aaronha01,Hank Aaron,13940.0,23.0,16.946223395736805,22.85783830938295,11.034608482090661,0.9838380907912316,1.3344336049955619,1.9147966839778814,0.29305875541001974,0.37122014721936153,-0.2867944308186981,143.22,False,29.343957260709885
10,musiast01,Stan Musial,12712.0,21.0,16.494365529004543,20.967282025493926,12.021449032515163,0.9934746280736284,1.8572058519332693,1.6573147150595189,0.797511161558783,-0.3526804342651252,-0.5268230737678695,128.54,False,26.85839171409919
11,gehrilo01,Lou Gehrig,9660.0,14.0,16.13472705957487,19.38427281477436,12.885181304375386,1.2134130087495687,1.3249756608009946,2.7235709548928053,2.0593794515278483,-0.2522073009006015,-0.9093409551064799,113.51,False,19.2954025890048
12,foxxji01,Jimmie Foxx,9670.0,16.0,15.955666724409632,18.732132312922623,13.17920113589664,1.188335735647449,1.093646004066605,2.6765164550753706,1.8337228535556165,-0.33374711495006004,-0.4635528797784953,92.72,False,18.894184607978605
13,lajoina01,Nap Lajoie,10461.0,20.0,15.838164136440387,19.365508603617624,12.310819669263152,1.129952850546589,1.853927949588695,1.1609512110793396,-0.8118295999400892,-0.026074239975826762,1.5463974316888502,108.7,False,21.58463824616624
14,hornsro01,Rogers Hornsby,9475.0,15.0,15.83434427135302,18.90284649051148,12.76584205219456,1.2617318827797184,1.95284667545821,2.0568153950599126,0.8617121659103347,-0.4153624691509517,0.07099145974171638,127.39999999999999,False,19.213767606626732
15,troutmi01,Mike Trout,7201.0,12.0,15.307395631563743,17.208142819778555,13.40664844334893,1.5197064603866839,1.25319973806993,2.0941960389228593,2.135779366043624,0.7481758077437887,1.1354610495505284,91.15,False,15.22800806058704
16,schmimi01,Mike Schmidt,10062.0,16.0,14.752932573431789,18.31422834148598,11.191636805377597,1.115587513186963,0.077554791942782,2.3797533792651193,1.8216743892370761,-0.09432084862693049,1.0282985388178913,106.88000000000001,False,20.88534063420361
17,pujolal01,Albert Pujols,13041.0,21.0,14.575106777233035,16.544927488331695,12.605286066134378,0.7708461323962585,1.146878027896297,1.4964247024874977,0.588789110120609,-0.3717791062357349,-0.2192284355368356,101.17,False,27.557691389462406
18,rodrial01,Alex Rodriguez,12207.0,19.0,14.295205850702057,17.394028091899436,11.196383609504679,0.8830950122812373,0.8838514009885465,1.5553405576946626,0.6400898206262756,0.5577711720664684,0.15775662703500087,117.41,False,24.393708040566203
19,collied01,Eddie Collins,12037.0,20.0,14.065662747633894,17.8016562750768,10.329669220190988,0.8940314526697984,1.5255116085702773,0.032997938387346576,1.3794096713095518,1.7270428625764833,0.5791666759695389,123.71,False,24.88462870611113
20,dimagjo01,Joe DiMaggio,7671.0,13.0,14.032774976899878,16.292280105107157,11.7732698486926,1.2743277360271534,1.3770893096243333,2.147981499456855,0.11439154863047946,-0.6886733676905447,1.3711733760440152,78.92,False,15.409618147462318
21,henderi01,Rickey Henderson,13346.0,24.0,13.807515117259616,16.853072778870306,10.761957455648924,0.76246747604601,0.3483853550151731,-0.040344593506448784,2.172457521868849,3.639193523904166,0.44445071508045475,111.17999999999999,False,28.720535918299586
22,delahed01,Ed Delahanty,8400.0,15.0,13.046124566841096,14.519311027544518,11.572938106137673,1.0586446246842522,1.5321885777458886,1.650685049875572,0.20438060379393608,0.29579177124924916,0.26882649446747736,70.43,False,17.230345149689697
23,griffke02,Ken Griffey,11304.0,21.0,13.00286914496705,15.453047403601747,10.552690886332352,0.8281375886174568,0.4541660657274964,1.6196616600880753,0.7275935704332598,-0.12933753643985993,0.7308183373672275,83.82,False,23.892254637409167
24,robinfr02,Frank Robinson,11743.0,19.0,12.66470937229007,16.140737324445748,9.188681420134392,0.8410284320162789,1.027252511047373,1.7875044977406664,0.908336281440188,0.5017996292097016,-0.72206130842561,107.24000000000001,False,24.631426142653776
25,morgajo02,Joe Morgan,11329.0,19.0,11.804360997511036,13.138626981402027,10.470095013620046,0.7020372418595792,0.2502715469729361,0.5029610018897392,2.2024313891295315,2.260640514682785,0.14880143409772512,100.59,False,23.410325148825027
26,vottojo01,Joey Votto,8746.0,16.0,11.752419198256735,13.110561785046274,10.394276611467197,0.9086677915014166,1.1379681814856544,0.9432249166874915,2.341486273489815,-0.3635570208660975,0.43258468393550586,63.64,False,19.61902817204675
27,brettge01,George Brett,11624.0,20.0,11.746005985975604,13.832244656841082,9.659767315110125,0.7165109897353577,1.3363826336560405,0.91549990026587,0.18957132249586262,-0.14331942534520714,0.18160519921859486,88.61,False,24.875645188328324
28,heltoto01,Todd Helton,9450.0,16.0,11.737687070207942,12.798164566233892,10.677209574181992,0.8213604385218028,1.552788270330795,0.9207129123259321,1.5550911693200304,-0.6838557277826158,-0.0390673021447839,61.769999999999996,False,19.911681587004527
29,broutda01,Dan Brouthers,7691.0,15.0,11.081516796611215,13.838309266061056,8.324724327161373,1.1264395006968713,1.8996468956773125,1.9440286647762295,1.0541714177864983,-0.3162518836543156,-0.7474044684659029,78.66,False,16.86737148739828
30,snidedu01,Duke Snider,8237.0,14.0,11.033541868692577,12.206777979924215,9.860305757460937,0.9648355668494967,0.9246793923739456,1.8231826231060888,0.5595371113797766,0.454016529000719,0.1956079908371841,65.99000000000001,False,15.868063059607781
31,mageesh01,Sherry Magee,8546.0,16.0,10.874134828867636,12.352131283640485,9.396138374094784,0.8672219483014616,0.8105459100452514,1.5803142750614134,0.24160617420107056,0.800206921977719,0.22891291575791603,59.97,False,17.88337542178967
32,greenha01,Hank Greenberg,6096.0,10.0,10.779328511451443,11.321284943400988,10.237372079501899,1.1403006489912026,0.9165106338116114,2.922600488992468,1.3351834571417809,-0.2035327225951278,-0.6229888065234321,55.37,False,12.08257360772451
33,ottme01,Mel Ott,11337.0,18.0,10.608204640957492,13.512479202989383,7.7039300789256,0.7361074561279852,0.5697256369616294,1.8775399996205442,1.8698289945222213,-0.42736907514450717,-0.7115911339221913,110.71000000000001,False,22.96540837470884
34,bagweje01,Jeff Bagwell,9431.0,14.0,10.586989216742811,12.220073766985475,8.953904666500147,0.7877142522766745,0.8253581525363622,1.3402766758743367,1.57462516658217,0.1651989767984535,-0.1797930529229882,79.88,False,20.10845092356561
35,ashburi01,Richie Ashburn,9736.0,15.0,10.349989454449542,11.573679387564626,9.126299521334458,0.7132505785269901,1.1779225646620626,-1.1946956487096296,0.6914985682429113,1.4854248482772285,2.502950810446231,64.31,False,20.55694381283047
36,charlos99,Oscar Charleston,5725.0,18.0,10.324871514211395,12.438909323118896,8.210833705303896,1.4956604396535746,1.701948164356707,2.08061147566889,1.0314267073517003,2.2188783560247485,-0.09365505150087813,46.790000000000006,True,19.30288421414056
37,connoro01,Roger Connor,8847.0,17.0,10.138107873938607,12.74554456921865,7.530671178658563,0.873980199032136,1.0914368955812974,1.81533067299471,1.1285172215319041,-0.5918732315774518,-0.4884150723602383,84.24,False,20.261526789812997
38,jacksjo01,Shoeless Joe Jackson,5690.0,9.0,10.085533193090429,10.658486354597816,9.512580031583042,1.165923758023462,2.3316357476568585,1.8202736362457026,0.2854538135372939,0.03409493874344734,-0.5580196618769017,61.47,False,11.466957802982176
39,arenano01,Nolan Arenado,7512.0,13.0,10.025776499541946,10.650734530619694,9.400818468464198,0.8506976462156305,0.8913805554811757,1.0795101174762938,-0.2808785302440496,-0.6378566461750141,1.8072915889786079,60.04,False,17.101009187723616
40,careyma01,Max Carey,10770.0,18.0,10.011824557061313,11.411798434739204,8.611850679383423,0.6378275790259452,0.056901988626568804,-0.02537222029363355,0.46438500952956113,2.3771385567100665,1.7210814595105095,55.68,False,22.835789817259908
41,beltrca01,Carlos Beltran,11031.0,19.0,10.002790030431223,10.907063984674348,9.098516076188098,0.5966665199493626,0.35890794592797914,0.7893004360061835,0.3290255934724438,0.7302036076091873,0.731405426304753,70.03,False,23.27118391178876
42,yastrca01,Carl Yastrzemski,13991.0,23.0,9.868924053031638,11.086487626125956,8.65136047993732,0.4754408245068668,0.7207933837963257,0.7843787490068325,1.2777388218888575,-0.1328800955903917,-0.4529834398196362,96.41,False,30.041849532053586
43,hamilbi01,Billy Hamilton,7608.0,13.0,9.77598222722323,11.01259278649538,8.539371667951078,0.8844272081243781,1.502735352131035,-0.33713666253348706,2.0778570438331005,2.4071223003556588,0.43124833413118846,63.93,False,15.41979776481012
44,kalinal01,Al Kaline,11597.0,21.0,9.735939004466122,11.833111657936188,7.638766350996057,0.6138036651475501,1.069290011208922,0.739655723763455,0.5885143754425561,0.10912623947709994,0.006779415819356794,92.78999999999999,False,24.7721559550917
45,thomafr04,Frank Thomas,10074.0,17.0,9.704240442285652,10.9263562140185,8.482124670552803,0.6641488935681391,1.0247834485484568,1.5404025344312808,2.1094974978389223,-0.7661125916899909,-1.1987269597033763,73.82,False,20.919647830918954
46,cabremi01,Miguel Cabrera,11796.0,20.0,9.678625778666666,10.34535595584837,9.01189560148496,0.53331158806676,1.4316279034948365,0.9093558005575448,0.6506888013752125,-0.6756766560344485,-0.8324236884151525,67.23,False,25.404338979296703
47,walkela01,Larry Walker,8030.0,16.0,9.655193747578414,11.082149238422506,8.228238256734322,0.8338712745238905,1.4068055106134405,1.5624819160044634,0.6370531421871358,0.4700042111896665,-0.8381034439958039,72.74,False,17.29220064905963
48,matheed01,Eddie Mathews,10101.0,16.0,9.653758966378046,11.295324442290864,8.012193490465226,0.6747505640556072,0.17039624163652392,1.6093174883102193,1.5480676613359,-0.2347032188748516,0.04750000412739748,96.01,False,21.06704611226399
49,santoro01,Ron Santo,9396.0,15.0,9.629774837062339,9.954216526235287,9.305333147889389,0.6356460106152801,0.5147586358739042,0.9128079243020485,0.8793730775817811,-0.5855000163872385,0.8899436822151997,70.53999999999999,False,19.749774633300856
50,edmonji01,Jim Edmonds,7980.0,16.0,9.590262658631381,11.072467244936954,8.108058072325807,0.8391411326212167,0.3861462268396197,1.2900977609238682,0.992504945847052,-0.4607744308441697,1.4154744239594104,60.4,False,16.906898065494083
51,averiea01,Earl Averill,7215.0,11.0,9.531571564612737,10.532351164256871,8.530791964968602,0.8935818295466803,0.7760166867067018,1.4809074836028586,0.608124599254956,-0.27319546352076596,0.915058324401966,51.45,False,14.083336994809082
52,bettsmo01,Mookie Betts,6936.0,12.0,9.433143277292942,10.136985530336613,8.729301024249269,0.8769018624858662,1.177843216839188,0.9880001945614844,0.6749438727866156,0.7538506628913112,0.4213469274893592,77.24,False,15.682593125986669
53,allendi01,Dick Allen,7314.0,14.0,9.393829659929384,10.614214947504491,8.173444372354279,0.8737177896148574,1.0256406697467708,2.0014697988555334,1.020031268852424,0.21656176988553333,-0.7903732741981482,58.79,False,15.359261641370454
54,stoveha01,Harry Stovey,6848.0,14.0,9.309715773981393,10.716163477831689,7.903268070131098,0.9389161925670289,0.6041707457657474,2.004424148661848,0.7988808341279532,1.7859601100083795,-0.35313218983093797,44.95,False,15.698316634397226
55,puckeki01,Kirby Puckett,7831.0,12.0,9.303459933247892,10.309329876205839,8.297589990289945,0.789886084245116,1.7270983252715055,0.30873865706715553,-0.9780453015302136,-0.16843456950189237,1.4689148832336414,51.13,False,16.955358844630858
56,clarkfr01,Fred Clarke,9838.0,18.0,9.298729107422304,11.889564292739715,6.707893922104894,0.7264499567865406,0.8898258721724901,0.8058079840034363,0.44572386466690805,0.5149378490329691,0.6084681428188743,69.06,False,20.40763914420941
57,boggswa01,Wade Boggs,10740.0,18.0,9.265032023955744,9.920267976870898,8.609796071040588,0.5542049149089885,2.0275583227605765,-0.4747103381696642,1.2420303312151768,-0.7972995082636619,0.21938718618281713,91.44000000000001,False,22.965740879086553
58,goldspa01,Paul Goldschmidt,8804.0,14.0,9.184538444849064,9.972215019165182,8.396861870532947,0.6935584805261513,1.0933594041243526,0.9509940448188882,1.2706778315434077,0.21449024748069156,-0.3413218102961534,65.0,False,19.707107436551553
59,simmoal01,Al Simmons,9515.0,16.0,9.155038876693723,10.38694531321581,7.923132440171635,0.6731656068189118,1.1796525527092956,1.2338215648113293,-0.649237295978013,-0.40871704467432146,0.27459402813978845,68.24,False,18.684589704538464
60,gehrich01,Charlie Gehringer,10237.0,16.0,9.133296233425142,10.688408804178616,7.578183662671669,0.6317026480011002,0.8580135993984609,0.5036610742607723,0.8034064524313399,0.24564148073965741,0.5914772629311528,84.6,False,20.34617672429209
61,cedence01,Cesar Cedeno,8133.0,16.0,9.083266271258875,9.47421741185655,8.6923151306612,0.7065039084158501,0.6566211108558291,0.5396049070984579,-0.22599825156424072,2.3302556414495452,0.6860518202051683,53.03,False,16.853798668162973
62,smithre06,Reggie Smith,8050.0,15.0,9.077120382086092,10.87348207415279,7.280758690019393,0.8176575065160638,0.8385680356775913,1.3441685196229107,0.6089792276064551,0.07113878768957267,0.4741236919815521,64.58,False,16.77582175035196
63,guerrvl01,Vladimir Guerrero,9059.0,15.0,9.067566087328224,10.307839261850813,7.827292912805636,0.6847546010972637,1.5693233050373334,1.1410342114512853,-0.2822450160906422,0.24946690968506,-0.6253742160438183,59.46,False,18.7916552638636
64,ramirma02,Manny Ramirez,9774.0,17.0,9.001263862288761,11.194009592306983,6.80851813227054,0.6922702283430415,1.3598715902762628,1.7476805398922133,1.3218464466488522,-0.7214943845681431,-1.5001530845778601,69.33,False,20.293405909379427
65,yountro01,Robin Yount,12249.0,20.0,8.937097451256179,9.840052534681577,8.03414236783078,0.4820011038296142,0.6658188692076883,0.19874596021613275,-0.2890127307306801,0.0484383884629125,1.233445446146223,77.36,False,26.314198761810268
66,jonesch06,Chipper Jones,10614.0,18.0,8.878428990838886,10.31042288731253,7.446435094365242,0.5830587872184276,1.042323570349714,0.9897736080775474,1.5204569306723754,-0.17573491349771936,-0.8052128401360817,85.26,False,22.63461727852882
67,crawfsa01,Sam Crawford,10594.0,17.0,8.876665944585818,10.55236890775858,7.200962981413055,0.6117906410914242,1.2241428171824977,1.6892212271607308,-0.11826073760164094,-0.11489812667148293,-1.1945134289211594,75.92999999999999,False,21.811505911852713
68,tulowtr01,Troy Tulowitzki,5415.0,11.0,8.874359106516117,9.096043995421967,8.652674217610267,1.0309078952121609,0.8667571273048121,0.946161754961353,0.3004807043592769,-0.31787837275064823,2.5183129861394136,44.78,False,11.487653720748183
69,lynnfr01,Fred Lynn,7923.0,16.0,8.79420632955514,9.606542666508949,7.9818699926013315,0.7322059959229381,0.5287220787223164,1.2034476812962647,0.5775864802852169,-0.4860704884585256,1.0170173436734729,50.17,False,16.90008189796168
70,mcgwima01,Mark McGwire,7660.0,13.0,8.786413052938988,9.336916397137104,8.235909708740872,0.7650074884995578,-0.1912224064964822,2.930235651481077,2.282838608809806,-0.8644572013099452,-0.9926731287290328,62.15,False,15.529317650983435
71,ansonca01,Cap Anson,11331.0,26.0,8.757901330102206,10.593979320984802,6.921823339219608,0.5670789180650264,1.4201288318139014,0.49231509635899917,0.7923221884868054,-0.471528542857502,-0.4566079973877325,94.33,False,28.844699419556893
72,piazzmi01,Mike Piazza,7745.0,15.0,8.756585534449464,9.846249023934,7.666922044964928,0.770140713643645,1.1153059052711176,1.1717382247440502,0.1731404103309386,-0.8294929456451688,0.7483136408525882,59.56,False,16.447169543648677
73,johnsbo01,Bob Johnson,8047.0,13.0,8.737353155738553,10.283484418586003,7.191221892891106,0.7667566361565307,0.44460979688530405,1.5372305303136042,1.2548795095666743,-0.007200128297147992,0.23718299934952772,55.47,False,15.99422707937906
74,ortizda01,David Ortiz,10091.0,18.0,8.72174154339369,10.080683517766344,7.362799569021036,0.6039351084033756,0.6338460270708374,1.8608213427651015,1.3896062560249136,-0.7842250352650574,-1.0250161231169586,55.04,False,20.85438040385387
